origin;-;baidu;-;google;-;bing;-;Label
The old rule started to seem dated and out of place .;-;旧规则开始显得过时和不合适。;-;旧规则开始显得过时和格格不入。;-;旧规则开始显得过时和不合时宜。;-;1-2;1-3;2-3
The Commission ordered the company to pay € 4.34 billion ( $ 4.9 billion ) in July 2018 for unfairly pushing its apps on smartphone users and thwarting competitors .;-;2018年7月，欧盟委员会命令该公司支付43.4亿欧元（49亿美元），因为该公司在智能手机用户身上不公平地推出应用程序，并挫败了竞争对手。;-;2018年7月，欧盟委员会责令该公司支付43.4亿欧元（49亿美元），原因是该公司不公平地将其应用程序推向智能手机用户并挫败竞争对手。;-;委员会于2018年7月命令该公司支付43.4亿欧元（49亿美元），以不公平地将其应用程序推向智能手机用户并挫败竞争对手。;-;1-2;1x3;2x3
Imagine if you 're a very large retailer that has a large number of locations , said Martin Fleming , chief economist at IBM .;-;IBM首席经济学家马丁·弗莱明说，想象一下，如果你是一家拥有大量门店的大型零售商。;-;想象一下，如果你是一家拥有大量门店的大型零售商，IBM首席经济学家MartinFleming说。;-;想象一下，如果你是一家拥有大量地点的非常大的零售商，IBM首席经济学家马丁·弗莱明说。;-;1-2;1x3;2x3
Sewing may find some support for a merger among European regulators who argue the region has too many banks .;-;欧洲监管机构认为该地区银行太多，他们可能会支持合并。;-;Sewing可能会在欧洲监管机构之间找到一些支持合并，他们认为该地区的银行太多。;-;Sewing可能会为欧洲监管机构的合并找到一些支持，他们认为该地区有太多的银行。;-;1x2;1x3;2x3
I really believe that you see a lot of innovation coming from other parts of the world .;-;我真的相信你会看到很多来自世界其他地方的创新。;-;我真的相信你会看到很多来自世界其他地方的创新。;-;我真的相信你看到很多创新来自世界其他地区。;-;1-2;1-3;2-3
I do not care if it ' s Marc Andreessen or Ben Horowitz , or anyone who is extremely famous or well accomplished , who disagrees with me .;-;我不在乎是马克·安德烈森还是本·霍洛维茨，或者任何一个非常有名或非常有成就的人，不同意我的观点。;-;我不在乎是马克·安德森还是本·霍洛维茨，或者任何非常有名或有成就的人不同意我的观点。;-;我不在乎是马克·安德森还是本·霍洛维茨，或者任何非常有名或成就卓著的人，都不同意我的观点。;-;1-2;1-3;2-3
They left out that the pilots were not trained to handle it .;-;他们遗漏了飞行员没有接受过处理这件事的培训。;-;他们忽略了飞行员没有接受过处理它的训练。;-;他们忽略了飞行员没有接受过处理它的训练。;-;2-3;1x2;1x3
When you 're in the company , it ' s very clear that you 're changing peoples ' minds .;-;当你在公司时，很明显你在改变人们的想法。;-;当你在公司时，很明显你正在改变人们的想法。;-;当你在公司工作时，很明显你正在改变人们的想法。;-;1-2;1-3;2-3
I am very willing to share my point of view .;-;我非常愿意分享我的观点。;-;我非常愿意分享我的观点。;-;我非常愿意分享我的观点。;-;1-2;1-3;2-3
Critics say the plan has not resolved longstanding questions over the future of Deutsche ' s investment bank , which delivers volatile returns and has lost ground to Wall Street rivals .;-;批评人士说，该计划没有解决有关德意志投资银行未来的长期问题。德意志投资银行的回报率不稳定，已经输给了华尔街的竞争对手。;-;批评人士称，该计划并没有解决长期以来对德意志投资银行未来的疑问，德意志投资银行的回报波动不定，并且已经输给了华尔街的竞争对手。;-;批评人士说，该计划并没有解决有关德意志银行投资银行未来的长期问题，该银行带来了不稳定的回报，并且已经输给了华尔街的竞争对手。;-;1-2;1-3;2-3
For many academics , there ' s a downside to that : Private companies now create and control much of the raw material necessary to understand the modern world .;-;对许多学者来说，这有一个缺点：私营公司现在创造并控制着理解现代世界所需的大部分原材料。;-;对许多学者来说，这样做有一个缺点：私营公司现在创造并控制着理解现代世界所必需的大部分原材料。;-;对于许多学者来说，这有一个缺点：私营公司现在创造和控制了理解现代世界所需的大部分原材料。;-;1-2;1-3;2-3
