origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
Nintendo has dreamed up a new way for Mario Kart fans to race each other .;-;任天堂为马里奥卡丁车的粉丝们想出了一种新的比赛方式。;-;任天堂已经为马里奥赛车迷们设计了一种新的比赛方式。;-;任天堂为马里奥卡丁车迷们想出了一种相互比赛的新方式。;-;1x2;1x3;2x3
Keeping employees engaged and happy while they are working remotely has become a challenge for companies .;-;让员工在远程工作时保持投入和快乐已成为公司面临的挑战。;-;让员工在远程工作时保持参与和快乐已成为公司面临的挑战。;-;让员工在远程工作时保持敬业度和快乐已成为公司面临的挑战。;-;1-2;1-3;2-3
Twitter , already under fire from lawmakers and regulators , appeared to go down altogether on Thursday .;-;已经受到立法者和监管机构抨击的Twitter在周四似乎完全崩溃了。;-;推特已经受到立法者和监管机构的抨击，周四似乎完全倒闭。;-;已经受到立法者和监管机构抨击的Twitter周四似乎完全倒闭了。;-;1-2;1-3;2-3
As the nation careens toward Election Day fears are bubbling up about potential election interference from a fresh source : ransomware .;-;随着美国大选日的临近，人们开始担心来自一个新来源的潜在选举干扰：勒索软件。;-;随着国家对选举日的关注，人们越来越担心来自新来源的潜在选举干扰：勒索软件。;-;随着国家对选举日的临近，人们对来自新来源的潜在选举干预的担忧正在冒泡：勒索软件。;-;1x2;1x3;2x3
McDonald 's is putting a new spin on an old favorite as it tries to lure customers back during the pandemic .;-;麦当劳在大流行期间试图吸引顾客回来，因此对一个老宠儿进行了新的宣传。;-;麦当劳在大流行期间试图吸引顾客回来时，正在对旧宠进行新的改造。;-;麦当劳正在为旧的最爱注入新的活力，因为它试图在大流行期间吸引顾客回来。;-;1x2;1x3;2x3
The pandemic has severely disrupted the education and childcare systems that millions of parents rely on .;-;这场大流行严重扰乱了数百万家长所依赖的教育和儿童保育系统。;-;大流行严重破坏了数百万父母所依赖的教育和儿童保育系统。;-;大流行严重扰乱了数百万父母所依赖的教育和儿童保育系统。;-;1-2;1-3;2-3
A hotly-contested case about insurance payouts for small businesses who were unable to trade owing to lockdown heads to the Supreme Court on Monday .;-;周一，最高法院受理了一个争议激烈的案件，涉及因封锁而无法交易的小企业的保险支出。;-;周一，针对因封锁而无法交易的小企业的保险赔付引发了激烈争议，该案件将提交给最高法院。;-;周一，一起备受争议的案件涉及因封锁而无法进行交易的小企业的保险支出。;-;1-2;1x3;2x3
This went to the High Court , where judges found that most , but not all , of the policies involved should pay out offering a potential lifeline to many of these small businesses .;-;这件事提交给了高等法院，法官们认为，大部分（但不是全部）相关政策都应该得到回报，为这些小企业提供了一条潜在的生命线。;-;这去了高等法院，法官发现大部分但不是全部所涉及的政策应该为许多这些小企业提供潜在的生命线。;-;这去了高等法院，法官发现，大多数（但不是全部）涉及的政策应该支付给许多这些小企业提供潜在的生命线。;-;1x2;1x3;2x3
Many businesses will have renewed annual policies since the first lockdown began and these will have Covid exclusions , so claims are mostly relevant for older policies during the first UK lockdown .;-;自第一次封锁开始以来，许多企业将有更新的年度保单，这些保单将不包括新冠病毒，因此索赔主要与第一次英国封锁期间的旧保单相关。;-;自第一次封锁开始以来，许多企业将更新年度保单，并且这些保单将被排除在Covid之外，因此索赔主要与英国首次封锁期间的旧保单相关。;-;自首次封锁开始以来，许多企业将更新年度政策，这些政策将具有Covid排除条款，因此索赔主要与英国首次封锁期间的旧政策相关。;-;1-2;1x3;2x3
Oliver Seadon made the move into teaching through the charity Now Teach after discussing it with friends and family members already working in the profession , and after losing his job in March .;-;奥利弗·西顿在3月份失去工作后，与已经从事该职业的朋友和家人讨论后，通过慈善机构NowTeach进入了教学领域。;-;奥利弗·西顿在与已经在该行业工作的朋友和家人讨论后，通过慈善机构NowTeach开始教学，并在三月份失去了工作。;-;奥利弗·西登在与已经在该行业工作的朋友和家人讨论后，并在三月份失去工作后，通过慈善机构NowTeach进入了教学领域。;-;1x2;1-3;2x3
The NAO concluded that in cases of potential conflict of interest involving ministers , all had properly declared their interests and it found no evidence of their involvement in procurement decisions or contract management .;-;NAO的结论是，在涉及部长的潜在利益冲突的情况下，所有部长都正确地申报了自己的利益，并且没有发现他们参与采购决策或合同管理的证据。;-;NAO的结论是，在涉及部长的潜在利益冲突的情况下，所有人都正确地声明了他们的利益，并且没有发现他们参与采购决策或合同管理的证据。;-;NAO的结论是，在涉及部长的潜在利益冲突案件中，所有人都适当地宣布了自己的利益，并且没有发现他们参与采购决定或合同管理的证据。;-;1-2;1-3;2-3
Second-hand cars and computer games also saw price rises , but these were partially offset by falls in the cost of energy and holidays .;-;二手车和电脑游戏的价格也出现了上涨，但能源和度假成本的下降部分抵消了上涨的影响。;-;二手车和电脑游戏的价格也出现上涨，但部分被能源和假期成本的下降所抵消。;-;二手车和电脑游戏也出现了价格上涨，但这些都被能源和假期成本的下降部分抵消了。;-;1-2;1-3;2-3
When NBC set out to schedule a television town hall with President Trump , the top priorities were safety and parity with Trump 's challenger Joe Biden .;-;当NBC开始与特朗普总统一起安排电视市政厅时，首要任务是安全和与特朗普的挑战者乔·拜登平等。;-;当NBC开始与特朗普总统安排一个电视市政厅时，首要任务是与特朗普的挑战者乔·拜登的安全和平等。;-;当NBC开始与特朗普总统安排电视市政厅时，首要任务是安全和与特朗普的挑战者乔·拜登平起平坐。;-;1-2;1-3;2-3
