origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
Some of the celebrities did use their megaphones to promote masks and social distancing .;-;一些名人确实使用扩音器宣传面具和社交距离。;-;一些名人确实使用他们的扩音器来宣传戴口罩和保持社交距离。;-;一些名人确实使用扩音器来宣传口罩和保持社交距离。;-;1-2;1-3;2-3
There 's something deeply moving about seeing something germinate , flower or even go to seed .;-;看到一些东西发芽，开花，甚至发芽，都会让人感动。;-;看到一些东西发芽、开花甚至结籽，都会让人很感动。;-;看到某些东西发芽，开花甚至去播种，有一种非常感人的东西。;-;1-2;1x3;2x3
Fame is more easily achievable in a multimedia environment but then again , so is criticism .;-;名声在多媒体环境中更容易实现，但批评也是如此。;-;在多媒体环境中成名更容易获得，但同样，批评也是如此。;-;在多媒体环境中，成名更容易实现，但话又说回来，批评也是如此。;-;1x2;1x3;2x3
The world is changing and there is an increasing demand for more diverse perspectives on history .;-;世界在变化，人们对历史的看法越来越多样化。;-;世界正在发生变化，对更多样化的历史观点的需求越来越大。;-;世界正在发生变化，对更多样化的历史观点的需求日益增加。;-;1x2;1x3;2-3
She has gone viral on micro-blogging platform Sina Weibo after her passion for art made national headlines;-;在她对艺术的热爱登上全国头条后，她在微博平台新浪微博上走红;-;在她对艺术的热情登上全国头条后，她在微博平台新浪微博上走红;-;她在微博平台新浪微博上疯传，此前她对艺术的热情成为全国头条新闻;-;1-2;1x3;2x3
They really relished the opportunity to present themselves for an international audience and be able to say .;-;他们真的很享受有机会向国际观众展示自己，并且能够说出来。;-;他们真的很高兴有机会向国际观众展示自己并能够发表意见。;-;他们真的很享受向国际观众展示自己并能够说出来的机会。;-;1x2;1-3;2x3
I have great love and respect for Tom and for our years and the life we built together .;-;我非常爱和尊重汤姆，也非常尊重我们的岁月和我们共同创造的生活。;-;我对汤姆以及我们的岁月和我们共同建立的生活充满爱和尊重。;-;我非常爱和尊重汤姆，我们的岁月和我们共同建立的生活。;-;1x2;1x3;2x3
In a confounding and overwhelming year , music has allowed us both to reflect on the state of the world and escape from it with equal brilliance , writes Nick Levine .;-;尼克·莱文写道，在这令人困惑和难以抗拒的一年里，音乐让我们能够反思世界的现状，并以同样的辉煌逃离它。;-;尼克莱文写道，在令人困惑和压倒性的一年里，音乐让我们既能反思世界的状况，又能以同样的光彩逃离它。;-;在令人困惑和压倒性的一年里，音乐让我们既反思了世界的状况，又以同样的才华逃离了它，尼克·莱文写道。;-;1-2;1x3;2x3
We talked about how sometimes in recovery , your life can get bigger than you ever thought possible .;-;我们讨论了有时候在康复过程中，你的生活会变得比你想象的更美好。;-;我们谈到了有时在康复过程中，您的生活会变得比您想象的要大。;-;我们谈到了有时在康复过程中，你的生活会变得比你想象的要大。;-;1x2;1x3;2x3
Earlier this year the BBC announced an organisation-wide voluntary redundancy scheme to help it meet its stringent savings requirements .;-;今年早些时候，英国广播公司宣布了一项全组织范围的自愿裁员计划，以帮助其满足严格的储蓄要求。;-;今年早些时候，英国广播公司宣布了一项全组织范围的自愿裁员计划，以帮助其满足严格的储蓄要求。;-;今年早些时候，BBC宣布了一项全组织范围的自愿裁员计划，以帮助其满足严格的节约要求。;-;1-2;1x3;2x3
