origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
Many state public health authorities and nursing homes have ongoing reservations about the rapid tests .;-;许多州公共卫生部门和养老院对快速检测持保留态度。;-;许多州公共卫生当局和疗养院对快速检测持保留态度。;-;许多州公共卫生当局和疗养院对快速检测持保留态度。;-;1-2;1-3;2-3
They try to be optimistic about the prospect of rolling out such an unprecedented immunization plan .;-;他们试图对推出这种前所未有的免疫计划的前景持乐观态度。;-;他们试图对推出这种前所未有的免疫计划的前景持乐观态度。;-;他们试图对推出这样一个前所未有的免疫计划的前景持乐观态度。;-;1-2;1-3;2-3
Health care providers see testing as the single most important tool they have in detecting the virus .;-;医疗保健提供者将检测视为检测病毒的唯一最重要工具。;-;医疗保健提供者将检测视为他们检测病毒的最重要工具。;-;医疗保健提供者将检测视为检测病毒的唯一最重要的工具。;-;1-2;1-3;2-3
The government is said to be planning legislation which will ban the movement of staff between homes .;-;据说政府正在计划立法，禁止员工在家庭之间流动。;-;据说政府正在计划立法，禁止员工在家庭之间流动。;-;据说政府正在计划立法，禁止工作人员在家庭之间流动。;-;1-2;1-3;2-3
They are introduced under natural , accidental and intentional conditions , and sometimes a combination of the three .;-;它们是在自然、偶然和有意的条件下引入的，有时是三者的结合。;-;它们是在自然、偶然和故意的条件下引入的，有时是三者的结合。;-;它们是在自然，偶然和有意的条件下引入的，有时是三者的结合。;-;1-2;1-3;2-3
To build that magnifier , the researchers identified clusters of gene exons that function together during brain development .;-;为了构建放大镜，研究人员确定了在大脑发育过程中共同发挥作用的基因外显子簇。;-;为了制造这种放大镜，研究人员确定了在大脑发育过程中共同发挥作用的基因外显子簇。;-;为了建立这种放大镜，研究人员确定了在大脑发育过程中共同发挥作用的基因外显子簇。;-;1-2;1-3;2-3
This could be linked to their physical health or drugs prescribed to treat disorders , the researchers speculated .;-;研究人员推测，这可能与他们的身体健康或治疗疾病的药物有关。;-;研究人员推测，这可能与他们的身体健康或治疗疾病的药物有关。;-;研究人员推测，这可能与他们的身体健康或用于治疗疾病的药物有关。;-;1x2;1x3;2x3
Imagine going to a hospital so overwhelmed , doctors and nurses with Covid-19 are allowed to keep working .;-;想象一下，去医院的压力太大了，医生和护士用COVID-19被允许继续工作。;-;想象一下，去一家不堪重负的医院，感染Covid-19的医生和护士可以继续工作。;-;想象一下，去一家不堪重负的医院，患有Covid-19的医生和护士被允许继续工作。;-;1x2;1x3;2x3
The coronavirus vaccine developed by the University of Oxford is highly effective at stopping people developing Covid-19 symptoms , a large trial shows .;-;牛津大学研制的2019冠状病毒疾病疫苗能有效阻止人们发展COVID-19症状。;-;一项大型试验表明，牛津大学开发的冠状病毒疫苗在阻止人们出现Covid-19症状方面非常有效。;-;一项大型试验显示，牛津大学开发的冠状病毒疫苗在阻止人们出现Covid-19症状方面非常有效。;-;1x2;1x3;2-3
The goal is to popularize knowledge about how to eat properly and improve the life quality of cancer patients .;-;目标是普及关于如何合理饮食的知识，提高癌症患者的生活质量。;-;目标是普及如何正确饮食的知识，提高癌症患者的生活质量。;-;目标是普及有关如何正确饮食的知识，提高癌症患者的生活质量。;-;1-2;1-3;2-3
Daily coronavirus tests will be offered to close contacts of people who have tested positive in England , as a way to reduce the current 14-day quarantine .;-;英国将为在英国检测呈阳性的密切接触者提供每日冠状病毒检测，以减少目前14天的隔离。;-;将向在英格兰检测呈阳性的人的密切接触者提供每日冠状病毒检测，以减少目前的14天隔离。;-;将向在英国检测呈阳性的人的密切接触者提供每日冠状病毒检测，以减少目前14天的隔离期。;-;1x2;1x3;2x3
To monitor and control invasive alien species needs multidisciplinary collaborations including biology , chemistry , agricultural pharmacology and computer science .;-;监测和控制外来入侵物种需要多学科合作，包括生物学、化学、农业药理学和计算机科学。;-;监测和控制外来入侵物种需要多学科合作，包括生物学、化学、农业药理学和计算机科学。;-;监测和控制外来入侵物种需要多学科合作，包括生物学、化学、农业药理学和计算机科学。;-;1-2;1-3;2-3
A long and thin silicone prosthesis would be implanted in her nose and a silicone prosthesis embedded in her chin .;-;一个又长又薄的硅胶假体将植入她的鼻子，一个硅胶假体植入她的下巴。;-;一个长而薄的硅胶假体将被植入她的鼻子，一个硅胶假体嵌入她的下巴。;-;一个又长又薄的硅胶假体将植入她的鼻子，一个硅胶假体嵌入她的下巴。;-;1-2;1-3;2-3
Fluid from a nasal swab or saliva goes on one end , then a marking appears if you are positive .;-;鼻腔拭子或唾液中的液体流向一端，如果阳性，则会出现标记。;-;鼻拭子或唾液中的液体流向一端，如果您是阳性，则会出现标记。;-;鼻拭子或唾液中的液体在一端流出，如果您呈阳性，则会出现标记。;-;1-2;1-3;2-3
This means care providers are allocated a certain amount of equipment depending on the number of people they look after .;-;这意味着护理提供者根据他们照顾的人数分配一定数量的设备。;-;这意味着护理提供者会根据他们照顾的人数分配一定数量的设备。;-;这意味着根据护理提供者照顾的人数，为他们分配一定数量的设备。;-;1-2;1-3;2-3
Those lags could have devastating consequences , because even one undetected infection can quietly but rapidly trigger a broad outbreak .;-;这些滞后可能会带来毁灭性的后果，因为即使是一种未被检测到的感染也可能悄悄但迅速地引发大规模疫情。;-;这些滞后可能会产生毁灭性的后果，因为即使是一种未被发现的感染也可以悄悄地但迅速地引发广泛的爆发。;-;这些滞后可能会产生毁灭性的后果，因为即使是一种未被发现的感染也会悄无声息但迅速地引发广泛的爆发。;-;1-2;1-3;2-3
We have more confidence that our staff are indeed Covid free or that they are out and not exposing residents .;-;我们更有信心，我们的员工确实没有新冠病毒，或者他们外出，没有接触居民。;-;我们更有信心，我们的工作人员确实没有感染新冠病毒，或者他们外出并没有暴露居民。;-;我们更有信心，我们的员工确实没有Covid，或者他们已经外出并且没有暴露居民。;-;1x2;1x3;2x3
Scientists are locked in an ongoing battle to repel invasive alien species that threaten China 's ecosystem , Li Yingxue reports .;-;李英学报道，科学家们正在进行一场抗击威胁中国生态系统的外来入侵物种的战斗。;-;据李映雪报道，科学家们正处于一场持续的战斗中，以击退威胁中国生态系统的外来入侵物种。;-;据李映雪报道，科学家们陷入了一场持续的战斗，以击退威胁中国生态系统的外来入侵物种。;-;1x2;1x3;2-3
Some have called for more pragmatism , arguing a shorter isolation will be more effective in controlling the spread of the virus because of greater compliance .;-;一些人呼吁采取更务实的态度，认为更短的隔离时间将更有效地控制病毒的传播，因为更严格的遵守。;-;一些人呼吁更加务实，认为更短的隔离时间将更有效地控制病毒的传播，因为它的合规性更高。;-;一些人呼吁采取更务实的态度，认为较短的隔离将更有效地控制病毒的传播，因为遵守程度更高。;-;1x2;1x3;2-3
We need more information on the vaccines , who they are good for and whether they protect against transmission or infection .;-;我们需要更多关于疫苗的信息，它们对谁有益，以及它们是否能防止传播或感染。;-;我们需要更多关于疫苗的信息，它们对谁有好处，以及它们是否能防止传播或感染。;-;我们需要更多关于疫苗的信息，它们对谁有益，以及它们是否可以防止传播或感染。;-;1-2;1-3;2-3
About 3.9 million cases of cancer are diagnosed in China each year , and about 2.3 million people die of the disease .;-;中国每年诊断出约390万例癌症，约230万人死于该病。;-;中国每年诊断出约390万癌症病例，约230万人死于该病。;-;中国每年诊断出约390万例癌症，约230万人死于该病。;-;1-2;1-3;2-3
Crowd numbers will be reduced and all those present will be asked to provide their name , surname and mobile phone numbers .;-;人群数量将减少，所有在场人员将被要求提供姓名和手机号码。;-;人群数量将减少，所有在场的人都将被要求提供他们的姓名和手机号码。;-;人群数量将减少，所有在场的人将被要求提供他们的姓名和手机号码。;-;1-2;1-3;2-3
But the remote controlled robots that can perform this type of surgery are often very large , expensive and not widely available .;-;但是，能够进行这种手术的远程控制机器人通常非常大，价格昂贵，而且不太普及。;-;但能够进行此类手术的遥控机器人通常体积庞大、价格昂贵且无法广泛使用。;-;但是，可以进行这种手术的遥控机器人通常非常大，价格昂贵且不广泛可用。;-;1-2;1-3;2-3
Scientists suspect the virus spreads in mink farms through infectious droplets , on feed or bedding , or in dust containing droppings .;-;科学家怀疑该病毒通过感染性飞沫、饲料或床上用品或含尘粪便在水貂养殖场传播。;-;科学家怀疑该病毒通过传染性飞沫、饲料或床上用品或含粪便的灰尘在水貂养殖场传播。;-;科学家怀疑该病毒通过传染性飞沫，饲料或垫料或含有粪便的灰尘在水貂养殖场传播。;-;1-2;1-3;2-3
Before the pandemic , there was only limited use of gloves , aprons , and in particular masks , in care homes .;-;在大流行之前，护养院只使用了有限的手套、围裙，尤其是口罩。;-;在大流行之前，护理院只能有限地使用手套、围裙，尤其是口罩。;-;在大流行之前，在养老院中只有有限的手套，围裙，特别是口罩的使用。;-;1-2;1-3;2-3
Each kit contains a packet of assorted vegetable seeds , an instruction brochure and sample designs for pocket , container and community gardens .;-;每个工具包包含一包什锦蔬菜种子、一本说明书以及口袋、容器和社区花园的样本设计。;-;每个套件都包含一包各种蔬菜种子、一本说明手册和用于口袋、容器和社区花园的样品设计。;-;每个工具包都包含一包各种蔬菜种子，说明手册以及口袋，容器和社区花园的样品设计。;-;1-2;1-3;2-3
Her employer has done a risk assessment to keep Merlande as safe as possible in the workplace .;-;她的雇主已经进行了风险评估，以确保梅兰德在工作场所尽可能安全。;-;她的雇主已经进行了风险评估，以确保Merlande在工作场所尽可能安全。;-;她的雇主已经进行了风险评估，以确保Merlande在工作场所尽可能安全。;-;1-2;1-3;2-3
