origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
President Donald Trump participated in head-to-head town halls Thursday night .;-;周四晚上，唐纳德·特朗普总统参加了迎头痛击的市政厅活动。;-;唐纳德特朗普总统周四晚上参加了面对面的市政厅。;-;唐纳德·特朗普总统周四晚上参加了面对面的市政厅。;-;1x2;1x3;2-3
The money will fund space and cyber defence projects such as an artificial intelligence agency , and could create 40000 new jobs .;-;这笔资金将用于太空和网络防御项目，如人工智能机构，并可能创造4万个新工作岗位。;-;这笔资金将资助太空和网络防御项目，如人工智能机构，并可能创造40000个新工作岗位。;-;这笔资金将用于资助太空和网络防御项目，如人工智能机构，并可能创造40000个新工作岗位。;-;1-2;1-3;2-3
The government condemned the move accusing the leaders of sedition for creating a parallel administration .;-;政府谴责这一指控领导人煽动叛乱的举动，称他们建立了一个平行的政府。;-;政府谴责此举，指责领导人煽动叛乱，建立平行政府。;-;政府谴责此举，指责领导人煽动叛乱，以建立一个平行的政府。;-;1-2;1-3;2-3
According to the education ministry , secondary and primary schools are expected to reopen in November .;-;据教育部称，中小学预计将于11月重新开放。;-;据教育部称，中小学预计将于11月重新开放。;-;根据教育部的数据，中学和小学预计将于11月重新开放。;-;1-2;1x3;2x3
Macron has deployed thousands of soldiers to protect sites such as places of worship and schools .;-;马克龙已经部署了数千名士兵保护宗教场所和学校等场所。;-;马克龙已经部署了数千名士兵来保护礼拜场所和学校等场所。;-;马克龙已经部署了数千名士兵来保护礼拜场所和学校等场所。;-;1x2;1x3;2-3
Nearly a dozen women were among the victims for which the Islamic State group has claimed responsibility .;-;伊斯兰国组织声称对受害者负有责任，其中包括近12名妇女。;-;近十几名妇女是伊斯兰国组织声称对其负责的受害者。;-;近十几名妇女是伊斯兰国家集团声称对此负责的受害者之一。;-;1x2;1x3;2x3
He expressed appreciation for the organizers of the expo for hosting the event in these challenging times .;-;他对世博会组织者在这个充满挑战的时代举办这次活动表示感谢。;-;他对世博会组织者在这个充满挑战的时期举办此次活动表示感谢。;-;他对世博会的组织者在这些充满挑战的时期举办此次活动表示感谢。;-;1-2;1-3;2-3
Experts said UK universities are also arranging charter flights for financial reasons to bring students to the country .;-;专家表示，出于经济原因，英国大学也在安排包机将学生带到英国。;-;专家表示，英国大学也出于经济原因安排包机将学生带到该国。;-;专家表示，出于经济原因，英国大学也在安排包机，将学生带到该国。;-;1-2;1-3;2-3
Without the March relief program , the poverty rates would have been higher over the last seven months .;-;如果没有3月份的救济计划，过去七个月的贫困率会更高。;-;如果没有三月份的救济计划，过去七个月的贫困率会更高。;-;如果没有三月份的救济计划，过去七个月的贫困率会更高。;-;1-2;1-3;2-3
The kindergartens and primary schools will remain open , while secondary schools will close and introduce distance learning .;-;幼儿园和小学将继续开放，中学将关闭并引入远程教育。;-;幼儿园和小学将继续开放，而中学将关闭并引入远程学习。;-;幼儿园和小学将继续开放，而中学将关闭并引入远程学习。;-;1-2;1-3;2-3
Meanwhile , different households will be banned from mixing , although support bubbles and childcare bubbles will remain .;-;与此同时，不同的家庭将被禁止混合，尽管支持泡沫和托儿泡沫仍将存在。;-;同时，不同家庭将被禁止混合，但支持泡沫和育儿泡沫仍将存在。;-;与此同时，不同的家庭将被禁止混合，尽管支持泡沫和儿童护理泡沫将仍然存在。;-;1-2;1-3;2-3
There is no doubt Jeremy Corbyn 's supporters will keep objecting loudly to what has happened , and that could get extremely bumpy .;-;毫无疑问，杰里米·科尔宾的支持者会继续大声反对所发生的事情，而这可能会变得非常颠簸。;-;毫无疑问，JeremyCorbyn的支持者会继续大声反对发生的事情，这可能会变得非常颠簸。;-;毫无疑问，杰里米·科尔宾的支持者将继续大声反对已经发生的事情，这可能会变得非常颠簸。;-;1-2;1-3;2-3
The ministers renewed the discussion of new fiscal rules , which was disrupted by the pandemic early this year .;-;部长们重新讨论了新的财政规则，该规则在今年年初被疫情打乱。;-;部长们重新讨论了今年初因大流行而中断的新财政规则。;-;部长们重新开始了对新财政规则的讨论，该规则在今年年初被大流行所扰乱。;-;1-2;1-3;2-3
Experts are warning that widespread belief in COVID-19 conspiracy theories could make vaccination campaigns less effective when treatments become available .;-;专家警告2019冠状病毒疾病理论的广泛信仰可能会使疫苗接种活动在治疗有效时变得不那么有效。;-;专家警告说，对COVID-19阴谋论的广泛信仰可能会在治疗可用时降低疫苗接种活动的效果。;-;专家警告说，对COVID-19阴谋论的广泛信念可能会使疫苗接种运动在获得治疗时效果降低。;-;1x2;1x3;2x3
However , rising unemployment and the ongoing challenges mean the outlook .;-;然而，不断上升的失业率和持续的挑战意味着前景。;-;然而，失业率上升和持续的挑战意味着前景。;-;然而，不断上升的失业率和持续的挑战意味着前景。;-;1-2;1-3;2-3
The COVID-19 pandemic has been the primary campaign issue , with Trump defending his administration 's actions and Biden opposing them .;-;COVID-19流行病是主要的竞选议题，特朗普为他的政府行为辩护，拜登反对他们。;-;COVID-19大流行一直是主要的竞选问题，特朗普为其政府的行动辩护，而拜登则反对。;-;COVID-19大流行一直是主要的竞选问题，特朗普为他的政府的行为辩护，拜登反对这些行动。;-;1x2;1x3;2x3
The resulting rush of air will drive a turbine to make electricity , which can be sold back to the grid .;-;由此产生的气流将驱动一台涡轮机发电，然后将其出售回电网。;-;由此产生的空气冲击将驱动涡轮机发电，这些电力可以卖回电网。;-;由此产生的空气冲动将驱动涡轮机发电，这些电力可以卖回电网。;-;1-2;1-3;2-3
The months ahead will be challenging for everyone , so it is especially important that we discuss and discuss our policies .;-;未来几个月对每个人来说都是挑战，所以我们讨论和讨论我们的政策尤其重要。;-;未来几个月对每个人来说都将充满挑战，因此我们讨论和讨论我们的政策尤为重要。;-;未来几个月对每个人来说都是一个挑战，因此，我们讨论和讨论我们的政策尤为重要。;-;1-2;1-3;2-3
Prime Minister of Kyrgyzstan Sadyr Zhaparov on Thursday declared himself acting president of the country after President Sooronbai Jeenbekov resigned hours earlier .;-;吉尔吉斯斯坦总理萨迪尔·扎帕罗夫周四宣布自己为该国代理总统，此前几小时，总统苏龙白·詹贝科夫辞职。;-;吉尔吉斯斯坦总理萨迪尔·扎帕罗夫周四宣布自己为该国代理总统，此前几小时前总统索伦拜·热恩别科夫辞职。;-;吉尔吉斯斯坦总理萨迪尔·扎帕罗夫周四宣布自己为该国代理总统，此前总统SooronbaiJeenbekov在几个小时前辞职。;-;1-2;1-3;2-3
Steven Kennedy , the treasury secretary , used a recent speech to urge the government to lower the threshold for fiscal stimulus .;-;财政部长史蒂文·肯尼迪在最近的一次演讲中敦促政府降低财政刺激的门槛。;-;财政部长史蒂文·肯尼迪利用最近的一次演讲敦促政府降低财政刺激的门槛。;-;美国财政部长史蒂文·肯尼迪在最近的一次演讲中敦促政府降低财政刺激的门槛。;-;1-2;1-3;2-3
At least 22 people , mostly students , were killed and another 27 wounded when three gunmen stormed the university on Monday .;-;周一，三名枪手闯入该大学，造成至少22人死亡，其中大部分是学生，另有27人受伤。;-;周一，三名枪手冲进大学时，至少有22人死亡，其中大部分是学生，另有27人受伤。;-;周一，当三名枪手冲进大学时，至少有22人被杀，另有27人受伤。;-;1-2;1x3;2x3
After briefing the prime minister on the outbreak , reporters heard from Nogami that measures would be taken to eradicate the outbreak .;-;在向首相通报疫情后，野上町的记者们获悉，将采取措施根除疫情。;-;在向首相通报疫情后，记者从野上获悉，将采取措施根除疫情。;-;在向首相通报疫情后，记者从野上那里听说将采取措施根除疫情。;-;1x2;1x3;2-3
Despite the downgrading , the Honduran government on Wednesday declared a national state of emergency due to the passage of the storm .;-;尽管降级，洪都拉斯政府在周三宣布，由于风暴的通过，国家进入紧急状态。;-;尽管降级，洪都拉斯政府周三由于风暴的过去宣布全国进入紧急状态。;-;尽管降级，但由于风暴的通过，洪都拉斯政府周三宣布全国进入紧急状态。;-;1-2;1-3;2-3
The new law means that the so-called " justifiable assault " defence is no longer available .;-;新法律意味着所谓的“正当攻击”辩护不再适用。;-;新法意味着不再提供所谓的“正当攻击”辩护。;-;新法律意味着所谓的"正当攻击"辩护不再可用。;-;1x2;1-3;2x3
Bars and restaurants are also shut but people can exercise near their homes if they wear masks and hairdressers can remain open .;-;酒吧和餐馆也关闭了，但人们可以在家附近锻炼，如果他们戴上口罩，理发师可以继续营业。;-;酒吧和餐馆也关闭了，但人们可以在家附近锻炼，如果他们戴上口罩，理发店可以继续营业。;-;酒吧和餐馆也关闭了，但如果戴口罩，人们可以在家附近锻炼，理发师可以保持开放。;-;1-2;1x3;2x3
The decision resulted in clashes between his supporters and the opposition ahead of the Saturday elections , leading to fatalities and injuries .;-;这一决定导致他的支持者和反对派在周六选举前发生冲突，造成人员伤亡。;-;这一决定导致他的支持者和反对派在周六选举前发生冲突，造成人员伤亡。;-;这一决定导致他的支持者在周六选举前与反对派发生冲突，导致伤亡。;-;1-2;1-3;2-3
