origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
People in the green area can not conduct any close contact with those having credentials in other colors .;-;绿色区域的人不能与拥有其他颜色证件的人进行任何密切接触。;-;绿色区域的人员不能与其他颜色的证件人员有任何密切接触。;-;绿地人不能与持有其他颜色证书的人进行任何密切接触。;-;1-2;1x3;2x3
Theo Walcott said he " feels like a kid again " after scoring his first goal since rejoining Southampton in their Premier League draw at Wolves .;-;西奥·沃尔科特说，自从在与狼队的英超平局中重新加入南安普顿队以来，他打进了自己的第一个进球，之后他“感觉又像个孩子了”。;-;西奥沃尔科特说，自从在与狼队的英超联赛平局中重新加入南安普顿后，他打进了自己的第一个进球后，“感觉又像个孩子了”。;-;西奥·沃尔科特说，自从在英超联赛中与狼队的比赛中重新加入南安普顿以来，他打进了自己的第一个进球，"感觉又像个孩子了"。;-;1-2;1-3;2-3
Balancing a career in professional sport with being a social media sensation is a tightrope to walk .;-;在职业体育生涯和社交媒体轰动之间取得平衡是一条走钢丝的捷径。;-;在职业体育事业与成为社交媒体轰动之间取得平衡是一条走钢丝。;-;平衡职业体育事业和社交媒体轰动是一条走钢丝。;-;1x2;1x3;2-3
Due to the COVID-19 pandemic , the event was staged behind closed doors and featured an all-domestic field .;-;由于COVID-19大流行，这项活动是闭门造车，并具有国内所有领域。;-;由于COVID-19大流行，该活动闭门举行，并以全国内场为特色。;-;由于COVID-19大流行，该活动闭门举行，并设有全国内场地。;-;1x2;1x3;2x3
Throughout the group and knockout stages , teams stayed in designated hotels where frequent medical testing was conducted .;-;在小组赛和淘汰赛的整个阶段，球队都住在指定的酒店，在那里进行频繁的体检。;-;在整个小组赛和淘汰赛阶段，球队都住在经常进行医学检测的指定酒店。;-;在整个小组赛和淘汰赛阶段，团队都住在指定的酒店，在那里经常进行医学检查。;-;1x2;1x3;2-3
The lockdown accelerated things because I was doing a lot more streaming online and getting more into it .;-;封锁加速了事情的发展，因为我在网上做了更多的流媒体，并且对它有了更多的了解。;-;封锁加速了事情的发展，因为我在网上做更多的流媒体并且更多地参与其中。;-;封锁加速了事情的发展，因为我在网上做了更多的流媒体，并投入了更多。;-;1x2;1x3;2x3
The launch of the 100-ball competition this summer was postponed by a month because of the coronavirus pandemic;-;由于冠状病毒大流行，今年夏天的百球比赛推迟了一个月;-;由于冠状病毒大流行，今年夏天的100球比赛推迟了一个月;-;由于冠状病毒大流行，今年夏天100球比赛的启动推迟了一个月;-;1x2;1x3;2x3
A maximum of 4000 fans will be allowed at outdoor events in the lowest-risk areas when the four-week lockdown in England ends on 2 December .;-;12月2日，英格兰为期四周的封锁结束后，在风险最低的地区，最多允许4000名球迷参加户外活动。;-;12月2日英格兰为期4周的封锁结束后，将允许最多4000名球迷参加低风险地区的户外活动。;-;当英格兰为期四周的封锁于12月2日结束时，最多允许4000名球迷参加风险最低地区的户外活动。;-;1-2;1-3;2-3
Rory McIlroy and his caddie Harry Diamond used to have a bet with each other during practice rounds .;-;RoryMcIlroy和他的球童HarryDiamond曾在练习赛中相互打赌。;-;罗里-麦克罗伊和他的球童哈里-戴蒙德曾经在练习赛中互相打赌。;-;罗里·麦克罗伊和他的球童哈里·戴蒙德曾经在练习赛中互相打赌。;-;1-2;1-3;2-3
Saudi Arabia has rejected criticism after it was confirmed it would host its first Formula 1 race in 2021 .;-;沙特阿拉伯在被证实将于2021举办第一届1式方程式比赛后遭到了批评。;-;沙特阿拉伯在确认将在2021年举办第一场一级方程式比赛后拒绝了批评。;-;沙特阿拉伯在确认将在2021年举办首场F1比赛后拒绝了批评。;-;1-2;1-3;2-3
He could not produce all his power in the previous performances because he needed to save energy for the jumps .;-;他无法在之前的表演中发挥出全部力量，因为他需要为跳跃节省能量。;-;在之前的表演中，他无法发挥出所有的力量，因为他需要为跳跃节省能量。;-;在之前的表演中，他无法发挥出所有的力量，因为他需要为跳跃节省能量。;-;1-2;1-3;2-3
There is a medical team , made up of more than 10 professionals that is in constant contact with everyone .;-;有一个医疗团队，由10多名专业人士组成，与每个人都保持着持续的联系。;-;有一个医疗团队，由10多名专业人员组成，与每个人保持密切联系。;-;有一支由10多名专业人员组成的医疗团队，与每个人保持联系。;-;1-2;1-3;2-3
Unbeaten Chinese heavyweight Zhang Zhilei produced a Hollywood finish for his first fight in nearly a year on Saturday night .;-;周六晚上，不败的中国重量级拳手张志雷在好莱坞完成了他近一年来的第一场比赛。;-;不败的中国重量级重量级人物张芷蕾在周六晚上为他近一年来的第一场比赛创造了好莱坞的结局。;-;不败的中国重量级选手张志磊在周六晚上为他近一年来的首次战斗创造了好莱坞的结局。;-;1x2;1x3;2-3
Burnley secured their first win in the Premier League this season as victory over Crystal Palace at Turf Moor moved them out of the relegation zone .;-;伯恩利确保了他们本赛季在英超联赛中的第一场胜利，因为他们在草坪沼地战胜了水晶宫，从而将他们带出了降级区。;-;伯恩利赢得了本赛季英超联赛的首场胜利，因为在特夫摩尔击败水晶宫将他们带出了降级区。;-;伯恩利确保了他们本赛季在英超联赛中的首场胜利，因为在TurfMoor战胜水晶宫将他们带出了降级区。;-;1x2;1x3;2-3
There were times I could just hear the echo of my footsteps out there because I was running completely alone .;-;有几次我能听到我的脚步声，因为我完全是一个人在跑步。;-;有时我只能听到外面的脚步声，因为我完全是一个人在奔跑。;-;有时候，我只能听到我的脚步声，因为我完全是一个人在跑步。;-;1x2;1x3;2x3
Imagine being forced to spend two weeks alone in a hotel room ahead of the biggest competition of your life .;-;想象一下，在你生命中最大的竞争面前，被迫独自在酒店房间里待上两周。;-;想象一下，在您一生中最大的比赛之前，被迫独自在酒店房间里度过两个星期。;-;想象一下，在你生命中最大的竞争之前，被迫在酒店房间里独自度过两个星期。;-;1x2;1x3;2x3
