origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
According to Mero , Lopez was working for a small company that specialized in independent films and was looking to expand into management when he started advocating for Mero .;-;据梅洛说，洛佩兹当时在一家专门从事独立电影的小公司工作，当他开始为梅洛代言时，他正打算扩展到管理层。;-;根据梅罗的说法，洛佩兹在一家专门从事独立电影的小公司工作，并在开始为梅罗宣传时正在寻求扩展到管理领域。;-;根据梅罗的说法，洛佩兹当时在一家专门从事独立电影的小公司工作，当他开始倡导梅罗时，他希望扩展到管理层。;-;1x2;1x3;2x3
He also apologizes to her , their children , and his fellow Academy Award nominees in the post .;-;他还向她、他们的孩子以及其他奥斯卡提名者道歉。;-;他还在帖子中向她、他们的孩子和他的奥斯卡奖提名人道歉。;-;他还向她、他们的孩子以及他在职位上的奥斯卡金像奖提名者道歉。;-;1x2;1x3;2x3
The movies outlined for Phase 5 and the glimpse provided of Phase 6 indicate that Marvel is eager to restore the epic scope associated with the story that culminated in " Endgame .;-;第5阶段概述的电影和第6阶段提供的一瞥表明，漫威渴望恢复与故事相关的史诗般的范围，最终以“结局”告终。;-;第5阶段概述的电影和第6阶段提供的一瞥表明，漫威渴望恢复与故事相关的史诗范围，最终以“终局之战”为高潮。;-;第5阶段概述的电影和第6阶段提供的一瞥表明，漫威渴望恢复与故事相关的史诗范围，最终在“终局之战”中达到高潮。;-;1x2;1x3;2-3
Shakira has failed to reach an agreement with Spanish prosecutors on tax evasion charges , and she will go to trial insisting on her innocence , according to a statement released by her public relations team .;-;夏奇拉的公共关系团队发布的一份声明称，夏奇拉未能就逃税指控与西班牙检察官达成协议，她将坚持自己无罪受审。;-;根据她的公关团队发布的一份声明，夏奇拉未能与西班牙检察官就逃税指控达成协议，她将坚持自己的清白接受审判。;-;根据她的公关团队发布的一份声明，夏奇拉未能与西班牙检察官就逃税指控达成协议，她将接受审判，坚持自己无罪。;-;1-2;1-3;2-3
Acquainted since high school , the pair had much in common being children of immigrants .;-;这对夫妇从高中就认识了，他们都是移民的孩子。;-;从高中开始就认识了，这对夫妇有很多共同点，都是移民的孩子。;-;两人从高中开始就相识，他们有很多共同点，那就是移民的孩子。;-;1x2;1x3;2x3
" When you give me this award , you honor my father , Paul Sorvino , who has taught me everything I know about acting , " she said at the time .;-;她当时说：“当你们给我这个奖项的时候，你们是为了纪念我的父亲保罗·索维诺，他教会了我关于表演的一切。”。;-;“当你给我这个奖项时，你是在向我的父亲保罗·索维诺致敬，他教会了我所有关于表演的知识，”她当时说。;-;“当你给我这个奖项时，你是在尊重我的父亲保罗·索维诺，他教会了我所有关于表演的知识，”她当时说。;-;1-2;1-3;2-3
Only she could drop a track titled " America Has a Problem " and instead of delivering a message about the state of the country , she lets us know she " Ca n't wait to back it up .;-;只有她才能播放一首名为“美国有问题”的歌曲，而不是传递一个关于国家状况的信息，她让我们知道她“迫不及待地想支持它”。;-;只有她可以放弃一首名为“美国有问题”的曲目，而不是传达有关该国状况的信息，而是让我们知道她“迫不及待地想要支持它。;-;只有她才能放下一首名为“美国有问题”的曲目，而不是传递有关该国状况的信息，而是让我们知道她“迫不及待地想支持它。;-;1-2;1-3;2-3
Nigerian artist Tems sings a cover of Bob Marley 's " No Woman , No Cry , " " A Body , A Coffin " by Amaarae and " Soy " by Santa Fe Klan also feature on the album .;-;尼日利亚艺术家Tems演唱了BobMarley的《没有女人，没有哭泣》的封面，Amaarae的《一具尸体，一具棺材》和SantaFeKlan的《Soy》也出现在专辑中。;-;尼日利亚艺术家Tems翻唱了BobMarley的“NoWoman,NoCry”、Amaarae的“ABody,ACoffin”和SantaFeKlan的“Soy”。;-;尼日利亚艺术家Tems演唱了BobMarley的“NoWoman，NoCry”，“Amaarae的”ABody，ACoffin“和SantaFeKlan的”Soy“的封面也出现在专辑中。;-;1-2;1-3;2-3
But I do n't see there being a problem with having the best of both worlds .;-;但我不认为两者兼得有什么问题。;-;但我不认为拥有两全其美的问题。;-;但我不认为拥有两全其美是有问题的。;-;1x2;1x3;2x3
Judge Marco Jesús Juberías argued that Shakira lived more than 200 days in Spain in each of those three years , making her liable to pay taxes in the country .;-;法官马尔科·耶斯·朱贝里亚斯辩称，在这三年中，夏奇拉每年在西班牙生活200多天，因此她有义务在西班牙纳税。;-;MarcoJesúsJuberías法官辩称，夏奇拉在这三年中的每一年都在西班牙生活了200多天，这使她有责任在该国纳税。;-;法官MarcoJesúsJuberías认为，夏奇拉在这三年中每年都在西班牙生活了200多天，这使她有责任在该国纳税。;-;1-2;1-3;2-3
