origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
Wu Yang , a 35-year-old chef in Shenyang , Northeast China 's Liaoning province , has been making the pastry for 10 years .;-;吴是中国东北辽宁省沈阳市一位35岁的厨师，他做这种糕点已有10年了。;-;中国东北辽宁省沉阳市35岁的厨师吴扬已经做了10年的糕点。;-;吴洋是中国东北辽宁省沈阳市的一名35岁厨师，他已经制作了10年的糕点。;-;1-2;1-3;2-3
" While the Covid lockdowns will force some companies to diversify their manufacturing locations , the zero-Covid policy will not permanently damage China 's status , " Paul Triolo , senior vice president at strategic advisory firm Dentons Global advisors , told CNN Business .;-;战略咨询公司丹顿全球顾问公司高级副总裁保罗·特里奥向美国有线电视新闻网表示：“虽然新冠肺炎的封锁将迫使一些公司将生产地多样化，但零新冠肺炎政策不会永久损害中国的地位。”。;-;战略咨询公司DentonsGlobaladvisors的高级副总裁保罗·特里奥洛告诉CNNBusiness：“虽然Covid封锁将迫使一些公司将其制造地点多样化，但零Covid政策不会永久损害中国的地位。”;-;“虽然Covid封锁将迫使一些公司使其制造地点多样化，但零Covid政策不会永久损害中国的地位，”战略咨询公司大成全球顾问公司高级副总裁PaulTriolo告诉CNNBusiness。;-;1-2;1-3;2-3
Crucially , she had been given a very high – 87 % – chance of developing breast cancer .;-;至关重要的是，她患乳腺癌的几率非常高——87%。;-;至关重要的是，她患乳腺癌的几率非常高——87%。;-;至关重要的是，她患乳腺癌的几率非常高（87%）。;-;1-2;1-3;2-3
Instead , the immune cells we met earlier , natural killer cells , well known for killing infected cells or cancer cells , take on a completely different , more constructive job in the womb : helping build the placenta .;-;相反，我们之前遇到的免疫细胞，自然杀伤细胞，以杀死感染细胞或癌细胞而闻名，在子宫中承担着一项完全不同、更具建设性的工作：帮助构建胎盘。;-;相反，我们之前遇到的免疫细胞，众所周知的以杀死受感染细胞或癌细胞而闻名的自然杀伤细胞，在子宫内承担了一项完全不同的、更具建设性的工作：帮助构建胎盘。;-;相反，我们之前遇到的免疫细胞，以杀死受感染细胞或癌细胞而闻名的自然杀伤细胞，在子宫中承担着完全不同的，更具建设性的工作：帮助建立胎盘。;-;1-2;1-3;2-3
A subsidiary of the Dongguan-based Mingyue company with investment from Japan , it is the only factory that produces garage kit figures in Southwest China .;-;它是总部位于东莞的明月公司的子公司，由日本投资，是中国西南地区唯一一家生产车库套件人像的工厂。;-;东莞明月公司是日本投资的子公司，是西南地区唯一一家生产车库套件手办的工厂。;-;它是总部位于东莞的明月公司的子公司，由日本投资，是中国西南地区唯一一家生产车库套件的工厂。;-;1x2;1x3;2x3
" The gyms were closed because of the COVID-19 resurgence then , and indoor activities were subjected to restrictive conditions , " Qu recalls , adding that he 's also seen many enthusiasts posting their frisbee experience on the social media platform Xiaohongshu .;-;瞿回忆道：“当时体育馆因为新冠肺炎疫情而关闭，室内活动受到限制。”他还说，他还看到许多爱好者在社交媒体平台小红树上发布他们的飞盘体验。;-;“当时由于COVID-19的死灰复燃，体育馆被关闭，室内活动受到限制，”曲回忆说，并补充说，他还看到许多爱好者在社交媒体平台小红书上发布他们的飞盘体验。;-;“由于当时COVID-19的复苏，健身房关闭了，室内活动受到限制性条件，”屈回忆道，并补充说他还看到许多爱好者在社交媒体平台小红书上发布他们的飞盘体验。;-;1x2;1x3;2x3
" We see it as an intellectual bridge between China and the rest of the world , " explains Babington-Smith , " something that 's needed maybe even more now than when we began . ";-;巴宾顿·史密斯解释说：“我们将其视为中国与世界其他地区之间的一座知识桥梁，现在可能比我们开始时更需要它。”;-;Babington-Smith解释说：“我们认为它是中国与世界其他地区之间的知识桥梁，现在可能比我们开始时更需要这种东西。”;-;“我们把它看作是中国与世界其他地区之间的知识桥梁，”巴宾顿-史密斯解释说，“现在可能比我们刚开始的时候更需要它。;-;1-2;1-3;2-3
Separately , Amazon partnered with JP Morgan Chase and Berkshire Hathaway on an effort to provide better health care services and insurance at a lower cost to workers and families at the three companies , and possibly other businesses , too .;-;此外，亚马逊还与摩根大通和伯克希尔·哈撒韦合作，努力以较低的成本为这三家公司的员工和家庭以及可能的其他企业提供更好的医疗服务和保险。;-;另外，亚马逊与摩根大通和伯克希尔哈撒韦公司合作，努力以更低的成本为这三家公司的工人和家庭以及可能的其他企业提供更好的医疗保健服务和保险。;-;另外，亚马逊与摩根大通和伯克希尔·哈撒韦合作，努力以更低的成本为这三家公司的工人和家庭提供更好的医疗保健服务和保险，可能还有其他企业。;-;1-2;1-3;2-3
He has made several highly publicized visits to China as CEO , illustrating the country 's importance to Apple .;-;作为首席执行官，他多次高调访问中国，表明中国对苹果的重要性。;-;作为CEO，他曾多次高调访问中国，表明中国对苹果的重要性。;-;他作为首席执行官多次对中国进行高度宣传的访问，说明了中国对苹果的重要性。;-;1-2;1x3;2x3
" What I liked most about the experience was it was something completely different that you would never be able to do as a regular tourist , " Bradley said in an exclusive interview with chinadaily.com.cn .;-;布拉德利在接受中国日报网的独家采访时表示：“我最喜欢的体验是，这是一种完全不同的体验，作为一名普通游客，你永远无法做到。”。;-;布拉德利在接受中国日报网独家采访时说：“我最喜欢这次体验的地方是完全不同的事情，作为普通游客，你永远无法做到。”;-;“我最喜欢这种体验的是，这是一个完全不同的东西，作为一个普通的游客，你永远无法做到，”布拉德利在接受chinadaily.com.cn独家采访时说。;-;1x2;1x3;2x3
