origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
The village 's last inhabitant , says Di Ciacca , was a distant great aunt who passed away in 1969 .;-;DiCiacca说，该村最后一位居民是1969年去世的一位远房姑姑。;-;DiCiacca说，村里的最后一位居民是一位远方的姑姑，她于1969年去世。;-;迪·夏卡说，该村的最后一位居民是一位遥远的姑姑，于1969年去世。;-;1-2;1-3;2-3
She was impressed by the creative design of the admission ticket , which carries a miniature version of The Analects of Confucius .;-;门票的创意设计给她留下了深刻的印象，门票上印有《论语》的缩影。;-;门票的创意设计给她留下了深刻的印象，门票上印有《论语》的缩影版。;-;她对门票的创意设计印象深刻，门票上有微型版的《孔子论语》。;-;1-2;1x3;2x3
Xanadu is situated idyllically amid the Xar Tala globeflower prairie and Xandii Gool wetlands on the upper reaches of the Luanhe River .;-;世外桃源田园般地坐落在滦河上游的XarTalaglobeflower大草原和XandiiGool湿地之间。;-;世外桃源坐落在滦河上游的夏塔拉球花草原和仙迪古尔湿地之间。;-;世外桃源位于栾河上游的XarTala环球花草原和XandiiGool湿地中田园诗般的田园诗般的环境中。;-;1x2;1x3;2x3
" I 'm trying , you know , to be very cool and try to catch her eye , as you do when you 're 19 , 20 years old , " recalls Kris .;-;“我试着，你知道，变得很酷，试着吸引她的眼球，就像你19、20岁时那样，”克里斯回忆道。;-;“你知道，我正在努力变得很酷，并试图引起她的注意，就像你在19岁、20岁时所做的那样，”克里斯回忆道。;-;“你知道，我正在努力变得非常酷，试图吸引她的眼球，就像你19、20岁时所做的那样，”克里斯回忆道。;-;1x2;1x3;2-3
Zhong has adopted a local moniker , Otieno , a common family name in western Kenya , to build a rapport with colleagues and clients .;-;为了与同事和客户建立良好的关系，钟在肯尼亚西部取了一个很常见的姓“奥提诺”。;-;为了与同事和客户建立融洽的关系，钟先生采用了当地的绰号Otieno，这是肯尼亚西部的一个常见姓氏。;-;Zhong采用了当地的绰号Otieno，这是肯尼亚西部的一个常见姓氏，与同事和客户建立了融洽的关系。;-;1x2;1x3;2-3
This was more because she liked the view , suggests Carrie , than because she figured Kris would be an important figure in her daughter 's life .;-;嘉莉表示，这更多是因为她喜欢这里的风景，而不是因为她认为克里斯将是她女儿生活中的一个重要人物。;-;嘉莉表示，这更多是因为她喜欢这种观点，而不是因为她认为克里斯将成为她女儿生活中的重要人物。;-;凯莉说，这更多的是因为她喜欢这个观点，而不是因为她认为克里斯会是她女儿生命中的重要人物。;-;1x2;1x3;2x3
Zha said that in addition to Bodh Gaya , destinations such as Nalanda , Rajgir , Vaishali and Patna , the capital of Bihar , are favorites among Chinese tourists , adding that the state is also home to numerous stupas .;-;查说，除菩提迦耶外，纳兰达、拉吉尔、瓦伊沙利和比哈尔邦首府巴特那等景点也是中国游客的最爱，该州还有许多佛塔。;-;查说，除了菩提伽耶之外，比哈尔邦首府那烂陀、拉杰吉尔、毗湿奴和巴特那等目的地是中国游客的最爱，并补充说，该邦还有众多佛塔。;-;Zha说，除了菩提伽耶之外，那烂陀，拉杰吉尔，瓦沙利和比哈尔邦首府巴特那等目的地也是中国游客的最爱，并补充说该州也是众多佛塔的所在地。;-;1x2;1-3;2x3
For travelers yearning for a tropical escape , overwater villas are the epitome of vacation goals .;-;对于渴望热带度假的旅行者来说，水上别墅是度假目标的缩影。;-;对于渴望热带度假的旅行者来说，水上别墅是度假目标的缩影。;-;对于渴望热带度假的旅行者来说，水上别墅是度假目标的缩影。;-;1-2;1-3;2-3
He jokes this was a good thing , " because her email address was actually completely incomprehensible and impossible to remember .;-;他开玩笑说这是件好事，“因为她的电子邮件地址实际上完全不可理解，也不可能记住。;-;他开玩笑说这是一件好事，“因为她的电子邮件地址实际上完全无法理解，也无法记住。;-;他开玩笑说这是一件好事，“因为她的电子邮件地址实际上是完全无法理解和记忆的。;-;1-2;1-3;2-3
Its long lap pool is the perfect spot to watch the light change , whether you 've selected a sunrise or sunset villa .;-;无论您选择的是日出别墅还是日落别墅，它的长水池都是观看光线变化的完美场所。;-;无论您选择了日出还是日落别墅，其长长的游泳池都是观看光线变化的理想场所。;-;它的长游泳池是观看光线变化的理想场所，无论您是选择了日出别墅还是日落别墅。;-;1-2;1-3;2-3
